stage,label,max_lr,min_lr,num_steps,best_step,best_valid_loss,final_step,final_train_loss,final_valid_loss,diverged,elapsed_seconds,device
probe,0.0003,0.0003,2.9999999999999997e-05,300,250,3.425728130340576,300,3.358177328109741,3.4586198806762694,False,67.461241989,Tesla T4
probe,0.001,0.001,0.0001,300,250,3.0229328632354737,300,2.738487195968628,3.0485462188720702,False,67.1471535,Tesla T4
probe,0.00125,0.00125,0.000125,300,250,2.9685394763946533,300,2.629023551940918,2.998017501831055,False,67.272944716,Tesla T4
probe,0.002,0.002,0.0002,300,250,2.9213934421539305,300,2.501460838317871,2.949962091445923,False,66.783132838,Tesla T4
probe,0.004,0.004,0.0004,300,300,3.1469892501831054,300,2.8736319541931152,3.1469892501831054,False,67.273134322,Tesla T4
probe,0.008,0.008,0.0008,300,300,3.45421142578125,300,3.3012225151062013,3.45421142578125,False,74.709768798,Tesla T4
full,0.002,0.002,0.0002,1000,500,2.8637645721435545,1000,0.8467684984207153,3.110078716278076,False,222.451557169,Tesla T4
full,0.00125,0.00125,0.000125,1000,500,2.8497573375701903,1000,0.9125607728958129,3.1107466220855713,False,220.36657264399997,Tesla T4
full,0.001,0.001,0.0001,1000,500,2.842664432525635,1000,1.0588614225387574,3.0840216636657716,False,220.979216653,Tesla T4
