step,tokens_seen,elapsed_seconds,split,loss,learning_rate,gradient_norm,tokens_per_second,peak_gpu_memory_mib
79,2588672,9.599719,train,3.72397184,0.00079,0.36261302,269661.21,13073.10
80,2621440,9.657174,train,3.73388195,0.0008,0.29405728,271449.99,13073.10
81,2654208,9.713207,train,3.67356825,0.00081,0.30431411,273257.60,13073.10
82,2686976,9.770256,train,3.61250162,0.00082,0.27955845,275015.90,13073.10
83,2719744,9.827101,train,3.62339783,0.00083,0.31220439,276759.54,13073.10
84,2752512,9.883786,train,3.64781952,0.00084,0.28341293,278487.60,13073.10
85,2785280,9.940858,train,3.55126739,0.00085,0.29157010,280185.06,13073.10
86,2818048,9.998092,train,3.59398532,0.00086,0.26715556,281858.55,13073.10
87,2850816,10.055480,train,3.63057041,0.00087,0.27245995,283508.69,13073.10
88,2883584,10.112233,train,3.52965593,0.00088,0.39100838,285157.96,13073.10
89,2916352,10.169148,train,3.58556652,0.00089,0.57493305,286784.29,13073.10
90,2949120,10.225870,train,3.56683683,0.0009,0.67010474,288397.93,13073.10
91,2981888,10.283101,train,3.49366140,0.00091,0.33665931,289979.45,13073.10
92,3014656,10.340217,train,3.48941755,0.00092,0.47127751,291546.68,13073.10
93,3047424,10.397079,train,3.52825046,0.00093,0.41635290,293103.83,13073.10
94,3080192,10.453659,train,3.51694775,0.00094,0.47752190,294652.03,13073.10
95,3112960,10.510823,train,3.50312328,0.00095,0.30922630,296167.08,13073.10
96,3145728,10.567409,train,3.45321798,0.00096,0.38869575,297682.04,13073.10
97,3178496,10.624232,train,3.52483582,0.00097,0.37790358,299174.17,13073.10
98,3211264,10.681213,train,3.35578299,0.00098,0.41059691,300645.97,13073.10
99,3244032,10.738659,train,3.38433218,0.00099,0.34447846,302089.07,13073.10
100,3276800,10.795694,train,3.42096233,0.001,0.39644498,303528.40,13073.10
100,3276800,11.131987,valid,3.36714169,0.001,,303528.40,13073.10
101,3309568,11.296702,train,3.35694909,0.000999999976232,0.36321482,200421.42,13073.10
102,3342336,11.354661,train,3.36276054,0.000999999904929,0.31843677,295935.14,13073.10
103,3375104,11.411975,train,3.36351395,0.00099999978609,0.48565215,352637.88,13073.10
104,3407872,11.467974,train,3.30518508,0.000999999619716,0.31478733,391532.49,13073.10
105,3440640,11.525421,train,3.30769706,0.000999999405806,0.38211977,417730.64,13073.10
106,3473408,11.582656,train,3.40813160,0.00099999914436,0.35445553,437442.76,13073.10
107,3506176,11.639962,train,3.28638315,0.000999998835379,0.30897185,452637.52,13073.10
108,3538944,11.697147,train,3.33587432,0.000999998478863,0.38581240,464843.45,13073.10
109,3571712,11.753911,train,3.30293012,0.000999998074811,0.32107469,475124.65,13073.10
110,3604480,11.810602,train,3.27869749,0.000999997623224,0.28844604,483734.98,13073.10
111,3637248,11.867144,train,3.22331071,0.000999997124101,0.29872015,491115.51,13073.10
112,3670016,11.924068,train,3.22143865,0.000999996577444,0.28906533,497199.74,13073.10
113,3702784,11.980759,train,3.25925970,0.000999995983251,0.27560413,502605.38,13073.10
114,3735552,12.036963,train,3.22463012,0.000999995341522,0.31470853,507606.11,13073.10
115,3768320,12.093751,train,3.15957737,0.000999994652259,0.27571931,511710.22,13073.10
116,3801088,12.150405,train,3.19338989,0.000999993915461,0.30039206,515423.65,13073.10
117,3833856,12.207311,train,3.19489384,0.000999993131128,0.28564391,518623.74,13073.10
118,3866624,12.264105,train,3.15317488,0.00099999229926,0.31892264,521553.89,13073.10
119,3899392,12.320905,train,3.19265890,0.000999991419857,0.30183157,524200.67,13073.10
120,3932160,12.378542,train,3.12594938,0.00099999049292,0.28363377,526252.04,13073.10
121,3964928,12.435275,train,3.12995815,0.000999989518448,0.30089259,528488.68,13073.10
122,3997696,12.491893,train,3.09879875,0.000999988496442,0.31805235,530583.46,13073.10
123,4030464,12.548591,train,3.06019664,0.000999987426901,0.27661037,532480.15,13073.10
124,4063232,12.605516,train,3.15939593,0.000999986309826,0.34545675,534148.84,13073.10
